gamma,idle_2nd_error_N_4,idle_2nd_error_N_6,idle_2nd_error_N_8
3.740141162659540441e+00,4.779466695448879483e-03,4.792532802236944148e-04,2.448276784715813260e-03
3.756056656968730145e+00,4.796638943524604570e-03,4.595106092934631188e-04,2.361724700871159661e-03
3.771972151277919849e+00,4.810889601304400853e-03,4.380713716452715786e-04,2.276564718330595545e-03
3.787887645587109109e+00,4.822220430798378199e-03,4.149660399266821430e-04,2.192799668257154090e-03
3.803803139896298813e+00,4.830636135285106166e-03,3.902254160199080421e-04,2.110432159267818745e-03
3.819718634205488073e+00,4.836144187572491079e-03,3.638806585771426011e-04,2.029464486147193169e-03
3.835634128514677776e+00,4.838754894729225403e-03,3.359631923449211814e-04,1.949898789180264796e-03
3.851549622823867924e+00,4.838481205632148840e-03,3.065048137046352253e-04,1.871736899543848193e-03
3.867465117133056740e+00,4.835338853167530336e-03,2.755375698122359304e-04,1.794980428897393569e-03
3.883380611442246888e+00,4.829346240455606801e-03,2.430938041358162826e-04,1.719630785118681426e-03
3.899296105751435704e+00,4.820524362374668977e-03,2.092061096574242295e-04,1.645688890345505841e-03
3.915211600060625852e+00,4.808896901912272301e-03,1.739073590183566565e-04,1.573155813265007114e-03
3.931127094369815556e+00,4.794489962689164365e-03,1.372306589332978309e-04,1.502032102678387427e-03
3.947042588679004815e+00,4.777332280256034111e-03,9.920934072178365078e-05,1.432318121187586358e-03
3.962958082988194519e+00,4.757455020736652690e-03,5.987695606986143007e-05,1.364014030123640326e-03
3.978873577297383335e+00,4.734891734470104280e-03,1.926726901631732014e-05,1.297119703421146858e-03
3.994789071606573483e+00,4.709678365908495472e-03,2.258578204400646912e-05,1.231634810158375830e-03
4.010704565915762743e+00,4.681853180349727049e-03,6.564807252015221549e-05,1.167558740666635409e-03
4.026620060224952447e+00,4.651456679966173638e-03,1.098852762503819540e-04,1.104890690958457416e-03
4.042535554534142150e+00,4.618531599145329208e-03,1.552629820312196945e-04,1.043629573318559638e-03
4.058451048843330966e+00,4.583122812326954204e-03,2.017465839330678226e-04,9.837740920243325752e-04
4.074366543152520670e+00,4.545277284561172713e-03,2.493013763663734007e-04,9.253227073796669016e-04
4.090282037461710374e+00,4.505044027314583470e-03,2.978925022748142018e-04,8.682736274818076425e-04
4.106197531770900078e+00,4.462474003166673649e-03,3.474850191590559312e-04,8.126248666604203672e-04
4.122113026080089782e+00,4.417620111497334509e-03,3.980439957652622354e-04,7.583741518690268217e-04
4.138028520389278597e+00,4.370537070960204586e-03,4.495342248127718286e-04,7.055190239255083222e-04
4.153944014698468301e+00,4.321281407307553737e-03,5.019205865357041123e-04,6.540567669722089153e-04
4.169859509007658005e+00,4.269911347492372916e-03,5.551678690009264130e-04,6.039844455455433943e-04
4.185775003316847709e+00,4.216486757264703393e-03,6.092409014009539207e-04,5.552988889367333272e-04
4.201690497626037413e+00,4.161069106489570513e-03,6.641041156144969222e-04,5.079966680603105553e-04
4.217605991935226228e+00,4.103721368641295719e-03,7.197225092344602688e-04,4.620742785896532262e-04
4.233521486244415932e+00,4.044507955369018408e-03,7.760607073094994562e-04,4.175277459391648770e-04
